"week","matchdate","time","home","score","away","attendance"
"17","2023-12-16","17:30:00","Diósgyőr","3-3","MTK Budapest","3412"
"17","2023-12-16","15:00:00","Kisvárda","4-0","Újpest","1815"
"17","2023-12-16","12:30:00","Vidi","3-0","Paks","4078"
"17","2023-12-17","16:00:00","Ferencváros","3-0","Zalaegerszeg","7017"
"17","2023-12-17","13:30:00","Kecskemét","1-1","Debrecen","2231"
"17","2023-12-17","18:00:00","Puskás","0-0","Mezőkövesd","800"
"18","2024-02-02","20:00:00","MTK Budapest","3-0","Újpest","3525"
"18","2024-02-03","17:30:00","Debrecen","2-2","Diósgyőr","5841"
"18","2024-02-03","15:00:00","Kisvárda","1-3","Ferencváros","3150"
"18","2024-02-03","12:30:00","Zalaegerszeg","3-1","Vidi","2479"
"18","2024-02-04","15:00:00","Mezőkövesd","0-3","Kecskemét","1950"
"18","2024-02-04","17:30:00","Paks","2-1","Puskás","2001"
"19","2024-02-06","20:00:00","Ferencváros","5-1","MTK Budapest","7014"
"19","2024-02-06","17:45:00","Újpest","1-2","Debrecen","2610"
"19","2024-02-07","17:45:00","Kisvárda","1-2","Vidi",NULL
"19","2024-02-07","20:00:00","Puskás","0-1","Zalaegerszeg","1234"
"19","2024-02-08","20:00:00","Kecskemét","2-1","Diósgyőr","2127"
"19","2024-02-08","16:00:00","Mezőkövesd","0-1","Paks","1451"
"20","2024-02-10","17:30:00","Debrecen","1-2","Ferencváros","12114"
"20","2024-02-10","12:30:00","Kisvárda","0-2","Puskás","1725"
"20","2024-02-10","15:00:00","MTK Budapest","0-2","Vidi","2839"
"20","2024-02-11","14:45:00","Diósgyőr","1-2","Újpest","6645"
"20","2024-02-11","12:30:00","Paks","1-0","Kecskemét","2310"
"20","2024-02-11","19:45:00","Zalaegerszeg","1-1","Mezőkövesd","1998"
"21","2024-02-16","20:00:00","Paks","3-4","Zalaegerszeg","1600"
"21","2024-02-17","13:00:00","Kecskemét","1-0","Újpest","4368"
"21","2024-02-17","15:30:00","Mezőkövesd","1-2","Kisvárda","1451"
"21","2024-02-18","17:30:00","Puskás","6-1","MTK Budapest","1231"
"21","2024-02-18","15:00:00","Vidi","1-0","Debrecen","4770"
"22","2024-02-23","20:00:00","MTK Budapest","3-1","Mezőkövesd","1734"
"22","2024-02-24","17:30:00","Debrecen","1-0","Puskás","4132"
"22","2024-02-24","15:00:00","Diósgyőr","4-0","Vidi","5164"
"22","2024-02-24","12:30:00","Zalaegerszeg","3-1","Kecskemét","2588"
"22","2024-02-25","15:00:00","Kisvárda","0-1","Paks","1910"
"22","2024-02-25","17:30:00","Újpest","0-5","Ferencváros","11202"
"23","2024-03-02","12:30:00","Debrecen","0-1","Mezőkövesd","3364"
"23","2024-03-02","18:45:00","Diósgyőr","1-1","Puskás","4805"
"23","2024-03-02","14:30:00","Kisvárda","1-0","Zalaegerszeg","1585"
"23","2024-03-03","16:30:00","Ferencváros","2-0","Kecskemét","11112"
"23","2024-03-03","14:00:00","MTK Budapest","0-2","Paks","2483"
"23","2024-03-03","19:00:00","Újpest","2-0","Vidi","3201"
"24","2024-03-08","20:00:00","Puskás","0-2","Újpest","2325"
"24","2024-03-09","15:15:00","Kecskemét","3-1","Kisvárda","2635"
"24","2024-03-09","12:45:00","Mezőkövesd","1-2","Diósgyőr","3850"
"24","2024-03-10","13:00:00","Paks","1-1","Debrecen","2489"
"24","2024-03-10","15:30:00","Vidi","0-2","Ferencváros","8061"
"24","2024-03-10","20:00:00","Zalaegerszeg","2-2","MTK Budapest","2124"
"25","2024-03-16","15:30:00","Diósgyőr","2-1","Paks","5587"
"25","2024-03-16","17:45:00","Kecskemét","0-1","Vidi","2548"
"25","2024-03-16","13:00:00","Újpest","2-2","Mezőkövesd","4383"
"25","2024-03-17","12:30:00","Debrecen","5-1","Zalaegerszeg","4002"
"25","2024-03-17","14:45:00","Ferencváros","1-1","Puskás","12107"
"25","2024-03-17","17:30:00","MTK Budapest","2-1","Kisvárda","1938"
"26","2024-03-29","20:00:00","Puskás","0-0","Vidi","3617"
"26","2024-03-30","14:30:00","Kisvárda","1-3","Debrecen","2580"
"26","2024-03-30","17:00:00","MTK Budapest","2-2","Kecskemét","2228"
"26","2024-03-30","19:30:00","Zalaegerszeg","5-1","Diósgyőr","3310"
"26","2024-03-31","18:00:00","Mezőkövesd","0-3","Ferencváros","4130"
"26","2024-03-31","15:30:00","Paks","1-2","Újpest","4108"
"27","2024-04-05","20:00:00","Újpest","1-5","Zalaegerszeg","6321"
