19,2024-02-08,20:00,Kecskemét,2-1,Diósgyõr,2127
20,2024-02-10,12:30,Kisvárda,0-2,Puskás,1725
20,2024-02-10,15:00,MTK Budapest,0-2,Vidi,2839
20,2024-02-10,17:30,Debrecen,1-2,Ferencváros,12114
20,2024-02-11,12:30,Paks,1-0,Kecskemét,2310
20,2024-02-11,14:45,Diósgyõr,1-2,Újpest,6645
20,2024-02-11,19:45,Zalaegerszeg,1-1,Mezõkövesd,1998
21,2024-02-16,20:00,Paks,3-4,Zalaegerszeg,1600
21,2024-02-17,13:00,Kecskemét,1-0,Újpest,4368
21,2024-02-17,15:30,Mezõkövesd,1-2,Kisvárda,1451
21,2024-02-18,15:00,Vidi,1-0,Debrecen,4770
21,2024-02-18,17:30,Puskás,6-1,MTK Budapest,1231
22,2024-02-23,20:00,MTK Budapest,3-1,Mezõkövesd,1734
22,2024-02-24,12:30,Zalaegerszeg,3-1,Kecskemét,2588
22,2024-02-24,15:00,Diósgyõr,4-0,Vidi,5164
22,2024-02-24,17:30,Debrecen,1-0,Puskás,4132
22,2024-02-25,15:00,Kisvárda,0-1,Paks,1910
22,2024-02-25,17:30,Újpest,0-5,Ferencváros,11202
23,2024-03-02,12:30,Debrecen,0-1,Mezõkövesd,3364
23,2024-03-02,14:30,Kisvárda,1-0,Zalaegerszeg,1585
23,2024-03-02,18:45,Diósgyõr,1-1,Puskás,4805
23,2024-03-03,14:00,MTK Budapest,0-2,Paks,2483
23,2024-03-03,16:30,Ferencváros,2-0,Kecskemét,11112
23,2024-03-03,19:00,Újpest,2-0,Vidi,3201
24,2024-03-08,20:00,Puskás,0-2,Újpest,2325
24,2024-03-09,12:45,Mezõkövesd,1-2,Diósgyõr,3850
24,2024-03-09,15:15,Kecskemét,3-1,Kisvárda,2635
24,2024-03-10,13:00,Paks,1-1,Debrecen,2489
24,2024-03-10,15:30,Vidi,0-2,Ferencváros,8061
24,2024-03-10,20:00,Zalaegerszeg,2-2,MTK Budapest,2124
25,2024-03-16,13:00,Újpest,2-2,Mezõkövesd,4383
25,2024-03-16,15:30,Diósgyõr,2-1,Paks,5587
25,2024-03-16,17:45,Kecskemét,0-1,Vidi,2548
25,2024-03-17,12:30,Debrecen,5-1,Zalaegerszeg,4002
25,2024-03-17,14:45,Ferencváros,1-1,Puskás,12107
25,2024-03-17,17:30,MTK Budapest,2-1,Kisvárda,1938
26,2024-03-29,20:00,Puskás,0-0,Vidi,3617
26,2024-03-30,14:30,Kisvárda,1-3,Debrecen,2580
26,2024-03-30,17:00,MTK Budapest,2-2,Kecskemét,2228
26,2024-03-30,19:30,Zalaegerszeg,5-1,Diósgyõr,3310
26,2024-03-31,15:30,Paks,1-2,Újpest,4108
26,2024-03-31,18:00,Mezõkövesd,0-3,Ferencváros,4130
27,2024-04-05,20:00,Újpest,1-5,Zalaegerszeg,6321
27,2024-04-06,14:15,Vidi,5-0,Mezõkövesd,3233
27,2024-04-06,16:30,Diósgyõr,1-1,Kisvárda,4398
27,2024-04-06,19:30,Debrecen,1-2,MTK Budapest,5221
27,2024-04-07,14:45,Ferencváros,1-0,Paks,17675
27,2024-04-07,17:30,Kecskemét,1-2,Puskás,3358
21,2024-04-10,18:00,Ferencváros,2-1,Diósgyõr,9473
28,2024-04-13,14:30,Kisvárda,4-1,Újpest,2450
28,2024-04-13,17:00,Debrecen,1-0,Kecskemét,5244
28,2024-04-13,19:30,Paks,1-2,Vidi,3511
28,2024-04-14,14:00,MTK Budapest,1-1,Diósgyõr,3739
28,2024-04-14,16:30,Zalaegerszeg,2-3,Ferencváros,9068
28,2024-04-14,18:45,Mezõkövesd,0-4,Puskás,1498
29,2024-04-20,14:30,Puskás,5-0,Paks,1000
29,2024-04-20,17:00,Ferencváros,0-0,Kisvárda,13749
29,2024-04-20,19:30,Diósgyõr,5-3,Debrecen,6005
