Tevékenység típusa,Dátum,Kedvenc,Cím,Távolság,Kalóriaszám,Idő,Átlagos pulzusszám,Max. pulzus,Átl. pedálütem,Max. pedálütem,Átlagos tempó,Legjobb tempó,Teljes emelkedés,Teljes süllyedés,Átlagos lépéshossz,Átl. pedálütem,Max. pedálütem,Training Stress Score®,Teljes csapásszám,Lépések,Összes ismétlés,Összes szett,Dekompressziós,Legjobb köridő,Körök száma,Ált. légzés,Min. légzés,Max. légzés,Stresszadatok változása,Kezdő stressz,Befejező stressz,Átl. stressz,Max. stressz,Menetidő,Eltelt idő,Minimális magasság,Maximális magasság
Futás,2024-05-29 20:02:17,true,"Szeged Futás","7.02","362","00:37:04","158","177","159","167","5:17","4:38","16","16","1.19","--","--","0.0","--","5,942","--","--","Nem","00:00:06.4","8","--","--","--","--","--","--","--","--","00:36:37","00:39:42","75","84"
Futás,2024-05-28 18:55:01,false,"Bp Futás","6.37","435","01:00:49","143","178","90","247","9:33","1:39","47","49","1.16","--","--","0.0","--","7,522","--","--","Nem","00:03:53.6","7","--","--","--","--","--","--","--","--","00:49:38","01:00:49","105","113"
Futás,2024-05-23 18:57:34,false,"Bp Futás","5.49","232","01:03:59","135","162","75","212","11:39","2:34","17","19","1.16","--","--","0.0","--","7,168","--","--","Nem","00:06:19.5","6","--","--","--","--","--","--","--","--","00:44:21","01:03:59","107","112"
Futás,2024-05-22 18:31:00,false,"Szeged Futás","4.59","324","00:59:18","123","151","70","236","12:55","2:36","4","3","1.11","--","--","0.0","--","6,290","--","--","Nem","00:07:04.1","5","--","--","--","--","--","--","--","--","00:38:04","00:59:18","81","87"
Futás,2024-05-21 18:55:18,false,"Bp Futás","5.62","264","01:02:01","129","165","87","235","11:02","2:02","61","58","1.05","--","--","0.0","--","7,414","--","--","Nem","00:06:47.5","6","--","--","--","--","--","--","--","--","00:48:59","01:02:01","106","113"
Futás,2024-05-21 12:40:53,false,"Szeged Futás","2.41","142","00:14:26","165","174","160","171","5:59","5:00","8","7","1.04","--","--","0.0","--","2,328","--","--","Nem","00:02:16.6","3","--","--","--","--","--","--","--","--","00:14:16","00:14:26","75","84"
Futás,2024-05-21 10:27:25,true,"Szeged Futás","21.25","1,160","02:08:11","150","174","--","--","6:02","2:01","118","116","--","72","106","0.0","--","--","--","--","Nem","02:27:54","1","--","--","--","--","--","--","--","--","02:09:57","02:27:54","72","88"
Futás,2024-05-21 10:27:25,false,"Szeged Futás","18.84","1,018","01:54:45","153","170","161","212","6:05","4:33","111","109","1.02","--","--","0.0","--","18,614","--","--","Nem","00:04:51.0","19","--","--","--","--","--","--","--","--","01:52:52","02:12:06","72","88"
Futás,2024-05-20 13:53:51,false,"Bp Futás","5.78","300","01:21:44","128","181","79","221","14:08","3:28","42","49","0.90","--","--","0.0","--","8,150","--","--","Nem","00:08:27.4","6","--","--","--","--","--","--","--","--","00:48:40","01:21:44","100","114"
Kerékpározás,2024-05-18 11:29:53,false,"Szeged Kerékpározás","35.07","508","01:21:06","137","162","--","--","25.9","42.0","129","126","--","--","--","0.0","--","--","--","--","Nem","01:21:06","1","--","--","--","--","--","--","--","--","01:20:11","01:25:42","74","102"
Futás,2024-05-17 18:37:55,false,"Bp Futás","4.52","351","01:09:50","116","151","53","198","15:26","2:50","43","41","1.23","--","--","0.0","--","5,486","--","--","Nem","00:09:00.2","5","--","--","--","--","--","--","--","--","00:35:03","01:09:50","84","112"
Futás,2024-05-16 18:38:20,false,"Bp Futás","5.46","525","01:18:05","138","181","72","249","14:18","2:51","28","24","0.95","--","--","0.0","--","8,010","--","--","Nem","00:05:13.0","6","--","--","--","--","--","--","--","--","00:47:56","01:18:05","104","112"
Futás,2024-05-15 18:07:28,false,"Szeged Futás","4.81","340","01:18:11","111","151","54","238","16:15","3:26","6","7","1.15","--","--","0.0","--","6,972","--","--","Nem","00:13:22","5","--","--","--","--","--","--","--","--","00:41:15","01:18:11","81","84"
Futás,2024-05-14 18:40:46,false,"Bp Futás","2.94","436","01:25:55","124","178","38","249","29:14","2:47","29","22","0.91","--","--","0.0","--","5,282","--","--","Nem","00:19:35","3","--","--","--","--","--","--","--","--","00:26:44","01:25:55","104","113"
Futás,2024-05-13 18:59:42,false,"Bp Futás","4.73","390","01:01:50","134","179","65","212","13:05","2:25","10","10","1.19","--","--","0.0","--","6,758","--","--","Nem","00:10:44","5","--","--","--","--","--","--","--","--","00:39:37","01:01:50","106","112"
Futás,2024-05-11 17:27:15,false,"Futás ","0.00","520","01:38:12","146","204","--","--","--","--","--","--","--","--","--","0.0","--","104","52","2","Nem","01:38:12","1","--","--","--","--","--","--","--","--","00:52:15","01:56:05","--","--"
Futás,2024-05-11 17:02:01,false,"Bp Futás","0.06","--","00:00:42.4","72","74","3","106","11:03","9:27","3","--","22.70","--","--","0.0","--","2","--","--","Nem","00:00:00.6","3","--","--","--","--","--","--","--","--","00:00:05.6","00:00:42.4","70","110"
Futás,2024-05-10 18:47:27,false,"Bp Futás","1.82","269","00:50:03","128","177","39","248","27:33","3:30","27","25","1.01","--","--","0.0","--","2,772","--","--","Nem","00:22:50","2","--","--","--","--","--","--","--","--","00:16:20","00:50:03","102","111"
Futás,2024-05-09 18:36:51,false,"Bp Futás","4.34","445","01:23:41","128","176","45","249","19:16","3:10","7","7","1.19","--","--","0.0","--","5,830","--","--","Nem","00:13:43","5","--","--","--","--","--","--","--","--","00:32:20","01:23:41","101","106"
Futás,2024-05-08 18:32:36,false,"Szeged Futás","4.62","374","00:58:34","134","169","67","228","12:41","2:53","3","4","1.19","--","--","0.0","--","6,388","--","--","Nem","00:08:10.8","5","--","--","--","--","--","--","--","--","00:40:22","00:58:34","81","85"
Futás,2024-05-07 18:55:49,false,"Bp Futás","3.66","395","00:57:11","145","179","55","246","15:38","3:05","23","20","1.22","--","--","0.0","--","4,894","--","--","Nem","00:12:04","4","--","--","--","--","--","--","--","--","00:36:09","00:57:11","106","112"
Futás,2024-05-06 18:47:23,false,"Bp Futás","2.61","302","00:54:38","123","168","44","230","20:55","3:27","25","27","1.07","--","--","0.0","--","3,974","--","--","Nem","00:09:03.8","3","--","--","--","--","--","--","--","--","00:22:02","00:54:38","104","112"
Futás,2024-05-04 15:35:15,false,"Bp Futás","5.10","442","01:18:40","153","218","64","214","15:25","2:54","29","32","1.01","--","--","0.0","--","7,164","--","--","Nem","00:01:30.3","6","--","--","--","--","--","--","--","--","00:43:02","01:18:40","100","110"
Futás,2024-05-02 18:33:02,false,"Bp Futás","5.81","502","01:27:45","130","163","60","212","15:06","1:54","76","59","1.09","--","--","0.0","--","8,226","--","--","Nem","00:09:58.9","6","--","--","--","--","--","--","--","--","00:49:05","01:27:45","104","125"
Futás,2024-04-29 18:48:14,false,"Bp Futás","4.64","372","01:02:29","126","176","65","206","13:28","2:24","38","36","1.10","--","--","0.0","--","5,622","--","--","Nem","00:04:00.3","5","--","--","--","--","--","--","--","--","00:34:27","01:02:29","96","112"
Futás,2024-04-27 13:59:51,false,"Bp Futás","7.66","645","01:39:42","155","187","90","219","13:01","3:50","24","23","0.85","--","--","0.0","--","10,696","--","--","Nem","00:07:44.0","8","--","--","--","--","--","--","--","--","01:11:19","01:39:42","85","101"
Futás,2024-04-26 18:33:12,false,"Bp Futás","2.77","267","00:59:33","116","162","40","228","21:32","1:53","51","8","1.20","--","--","0.0","--","4,022","--","--","Nem","00:14:42","3","--","--","--","--","--","--","--","--","00:24:52","00:59:33","54","101"
Kardió,2024-04-25 10:11:40,false,"Szeged Labdarúgás","3.78","454","01:42:49","118","146","--","--","2.2","14.2","4","3","--","--","--","0.0","--","--","--","--","Nem","01:42:49","1","--","--","--","--","--","--","--","--","01:05:17","01:42:49","81","83"
Futás,2024-04-23 18:47:19,false,"Bp Futás","4.03","353","01:09:51","121","159","55","247","17:20","2:58","25","25","1.08","--","--","0.0","--","5,860","--","--","Nem","00:00:19.3","5","--","--","--","--","--","--","--","--","00:36:25","01:09:53","106","111"
Futás,2024-04-22 18:43:02,false,"Bp Futás","3.74","331","01:15:55","107","147","52","247","20:18","2:49","21","20","0.89","--","--","0.0","--","5,902","--","--","Nem","00:07:32.6","4","--","--","--","--","--","--","--","--","00:34:11","01:15:55","105","112"
Futás,2024-04-20 12:11:39,false,"Bp Futás","5.15","391","00:54:34","145","177","85","208","10:35","1:44","6","6","1.11","--","--","0.0","--","6,204","--","--","Nem","00:01:56.9","6","--","--","--","--","--","--","--","--","00:39:57","00:54:34","103","107"
Futás,2024-04-19 18:35:46,false,"Bp Futás","5.79","423","01:22:09","119","156","66","215","14:11","2:39","38","36","1.07","--","--","0.0","--","8,424","--","--","Nem","00:10:05","6","--","--","--","--","--","--","--","--","00:50:48","01:22:09","104","134"
Futás,2024-04-18 18:44:46,false,"Bp Futás","4.02","525","01:10:29","149","179","54","239","17:32","2:52","23","21","1.02","--","--","0.0","--","6,894","--","--","Nem","00:00:19.3","5","--","--","--","--","--","--","--","--","00:35:57","01:10:31","101","112"
Futás,2024-04-16 19:02:24,false,"Bp Futás","2.49","252","00:49:58","117","156","44","247","20:03","3:41","27","24","1.16","--","--","0.0","--","3,872","--","--","Nem","00:11:01","3","--","--","--","--","--","--","--","--","00:21:51","00:49:58","104","113"
Futás,2024-04-16 08:09:48,false,"Bp Futás","1.97","96","00:09:10.5","163","175","167","186","4:40","3:14","26","33","1.28","--","--","0.0","--","1,536","--","--","Nem","00:04:21.1","2","--","--","--","--","--","--","--","--","00:09:06","00:09:10.5","138","174"
Futás,2024-04-14 10:59:54,false,"Bp Futás","9.45","800","01:51:11","160","191","82","227","11:46","2:41","69","77","1.04","--","--","0.0","--","11,386","--","--","Nem","00:02:09","11","--","--","--","--","--","--","--","--","01:15:37","01:51:11","100","109"
Futás,2024-04-12 18:12:31,false,"Szeged Futás","4.38","282","01:22:56","95","124","45","242","18:55","2:53","6","7","1.23","--","--","0.0","--","5,442","--","--","Nem","00:08:49.6","5","--","--","--","--","--","--","--","--","00:41:44","01:22:56","81","87"
Futás,2024-04-11 18:33:23,false,"Bp Futás","5.05","465","01:32:00","128","192","52","229","18:13","2:34","64","64","1.13","--","--","0.0","--","6,462","--","--","Nem","00:00:46.0","6","--","--","--","--","--","--","--","--","00:40:10","01:32:00","74","105"
